ingredient,raw,n_sources,herb_hits,mapped,CHP_ID,chinese,english,how,note,formula_n,has_props,review_needed,review_note,ambiguous,alt_candidates,norm_how
orange juice concentrate,orange juice concentrate,1,1,N,,,,실패,,0,N,N,,N,,영문미해결
계란흰자,계란흰자,1,1,N,,,,실패,,0,N,N,,N,,원형
바닐라익스트랙,바닐라익스트랙,1,1,N,,,,실패,,0,N,N,,N,,원형
tang orange crystal,tang orange crystal,1,1,N,,,,실패,,0,N,N,,N,,영문미해결
플레인요거트,플레인요거트,1,1,N,,,,실패,,0,N,N,,N,,원형
strawberry,strawberry,1,1,N,,,,실패,,0,N,N,,N,,영문미해결
빨간파프리카,빨간파프리카,1,1,N,,,,실패,,0,N,N,,N,,원형
채소육수,채소육수,1,1,N,,,,실패,,0,N,N,,N,,원형
couscous,couscous,1,1,N,,,,실패,,0,N,N,,N,,영문미해결
lamb,lamb,1,1,N,,,,실패,,0,N,N,,N,,영문미해결
saffron,saffron,1,1,N,,,,실패,,0,N,N,,N,,영문미해결
켈프,켈프,1,1,N,,,,실패,,0,N,N,,N,,원형
페이조아,페이조아,1,1,N,,,,실패,,0,N,N,,N,,원형
두리안,두리안,1,1,N,,,,실패,,0,N,N,,N,,원형
빌베리,빌베리,1,1,N,,,,실패,,0,N,N,,N,,원형
자두,자두,1,1,N,,,,실패,,0,N,N,,N,,원형
멜론,멜론,1,1,Y,CHP04119,甜瓜蒂,Melon,한자사전,멜론→甜瓜蒂,2,Y,Y,甜瓜蒂=Melon(꼭지) — 과육이 아니라 꼭지,N,,원형
카놀라유,카놀라유,1,1,N,,,,실패,,0,N,N,,N,,원형
레몬밤,레몬밤,1,1,Y,CHP06220,蜜蜂花,Melissa officinalis,한자사전,레몬밤→蜜蜂花,0,N,Y,"蜜蜂花=Melissa officinalis 정확, D7 성미 없음",N,,원형
사워체리,사워체리,1,1,N,,,,실패,,0,N,N,,N,,원형
블루베리,블루베리,1,1,N,,,,실패,,0,N,N,,N,,원형
링곤베리,링곤베리,1,1,N,,,,실패,,0,N,N,,N,,원형
쓴체리,쓴체리,1,1,N,,,,실패,,0,N,N,,N,,원형
카시아,카시아,1,1,N,,,,실패,,0,N,N,,N,,원형
키위,키위,1,1,N,,,,실패,,0,N,N,,N,,원형
체더치즈,체더치즈,1,1,N,,,,실패,,0,N,N,,N,,원형
블루치즈,블루치즈,1,1,N,,,,실패,,0,N,N,,N,,원형
맥주,맥주,1,1,N,,,,실패,,0,N,N,,N,,원형
코냑브랜디,코냑 브랜디,1,1,N,,,,실패,,0,N,N,,N,,원형
스위스치즈,스위스치즈,1,1,N,,,,실패,,0,N,N,,N,,원형
셰리,셰리,1,1,N,,,,실패,,0,N,N,,N,,원형
럼,럼,1,1,N,,,,실패,,0,N,N,,N,,원형
대두,대두,1,1,N,,,,실패,,0,N,N,,N,,원형
대추차블렌드,대추차 블렌드(계화),1,1,N,,,,실패,,0,N,N,,N,,괄호제거
황기,황기,1,1,Y,CHP01717,黄芪,Astragalus Root,한자사전,황기→黄芪,1306,Y,N,,N,,원형
진,진,1,1,N,,,,실패,,0,N,N,,N,,원형
캐러웨이,캐러웨이,1,1,N,,,,실패,,0,N,N,,N,,원형
베르가못,베르가못,1,1,N,,,,실패,,0,N,N,,N,,원형
캐모마일,캐모마일,1,1,N,,,,실패,,0,N,N,,N,,원형
엘더플라워,엘더플라워,1,1,N,,,,실패,,0,N,N,,N,,원형
시트러스,시트러스(오렌지·레몬),1,1,N,,,,실패,,0,N,N,,N,,괄호제거
백합근,백합근,1,1,N,,,,실패,,0,N,N,,N,,원형
녹두,녹두,1,1,Y,CHP02528,绿豆,Mung Bean,한자사전,녹두→绿豆,14,Y,N,,N,,원형
아니스,아니스,1,1,N,,,,실패,,0,N,N,,N,,원형
칠리플레이크,칠리플레이크,1,1,N,,,,실패,,0,N,N,,N,,원형
염소치즈,염소치즈,1,1,N,,,,실패,,0,N,N,,N,,원형
소시지,소시지,1,1,N,,,,실패,,0,N,N,,N,,원형
소고기육수,소고기육수,1,1,N,,,,실패,,0,N,N,,N,,원형
옥수수전분,옥수수전분,1,1,N,,,,실패,,0,N,N,,N,,원형
청주,청주(미주),1,1,N,,,,실패,,0,N,N,,N,,괄호제거
다크럼,다크럼,1,1,N,,,,실패,,0,N,N,,N,,원형
칠리파우더,칠리파우더,1,1,N,,,,실패,,0,N,N,,N,,원형
마시멜로,마시멜로,1,1,N,,,,실패,,0,N,N,,N,,원형
캐슈넛,캐슈넛,1,1,Y,CHP00832,都咸,Anacardium occidentale,한자사전,캐슈넛→都咸,0,Y,Y,"都咸=Anacardium occidentale 학명 일치, 방제 0회",N,,원형
커리잎,커리잎,1,1,N,,,,실패,,0,N,N,,N,,원형
얼음설탕,얼음설탕(빙당),1,1,N,,,,실패,,0,N,N,,N,,괄호제거
진피,진피(말린 귤껍질),1,1,Y,CHP00361,陈皮,Tangerine Peel,한자사전,진피→陈皮,902,Y,N,,N,,괄호제거
팥앙금,팥앙금,1,1,N,,,,실패,,0,N,N,,N,,원형
피시소스,피시소스,1,1,N,,,,실패,,0,N,N,,N,,원형
갈랑갈,갈랑갈,1,1,Y,CHP01161,高良姜,Alpinia officinarum,한자사전,갈랑갈→高良姜,96,Y,N,,N,,원형
관자,관자,1,1,N,,,,실패,,0,N,N,,N,,원형
선드라이토마토,선드라이토마토,1,1,N,,,,실패,,0,N,N,,N,,원형
루꼴라,루꼴라,1,1,Y,CHP05473,芝麻菜,Eruca vesicaria,한자사전,루꼴라→芝麻菜,0,Y,Y,"芝麻菜=Eruca vesicaria 학명 일치, 방제 0회",N,,원형
모차렐라치즈,모차렐라치즈,1,1,N,,,,실패,,0,N,N,,N,,원형
방울토마토,방울토마토,1,1,N,,,,실패,,0,N,N,,N,,원형
부라타치즈,부라타치즈,1,1,N,,,,실패,,0,N,N,,N,,원형
안초비,안초비,1,1,N,,,,실패,,0,N,N,,N,,원형
피칸프랄린,피칸프랄린,1,1,N,,,,실패,,0,N,N,,N,,원형
장미잼,장미잼,1,1,N,,,,실패,,0,N,N,,N,,원형
코코넛오일,코코넛오일,1,1,N,,,,실패,,0,N,N,,N,,원형
아몬드추출액,아몬드추출액,1,1,N,,,,실패,,0,N,N,,N,,원형
카라멜소스,카라멜소스,1,1,N,,,,실패,,0,N,N,,N,,원형
초콜릿칩,초콜릿칩,1,1,N,,,,실패,,0,N,N,,N,,원형
오트밀,오트밀,1,1,N,,,,실패,,0,N,N,,N,,원형
